"ID","Type","Stars","Status","Owner","Summary","Opened"
"682","Bug","2","WontFix","","Not Found error on clicking the change to approve it","Aug 24, 2010"
"681","Feature","65","Released","","Default reviewer","Aug 24, 2010"
"680","Feature","1","WontFix","","Should footer pattern matching ignore leading whitespace?","Aug 24, 2010"
"679","Feature","1","Duplicate","","Warning/confirmation option for ""Publish and Submit""","Aug 24, 2010"
"678","Feature","8","WontFix","","Show gitk-style graph on dashboard page","Aug 24, 2010"
"677","Bug","1","WontFix","","Unable to upload and submit patch to Gerrit","Aug 23, 2010"
"676","Bug","0","Released","sop@google.com","Topic tag dropped when pushing replacement patch set","Aug 21, 2010"
"675","Bug","2","WontFix","","Gerrit can generate too long error comments that crash Firefox","Aug 21, 2010"
"674","Feature","3","Released","","Abandon changes over SSH","Aug 21, 2010"
"673","Bug","1","Invalid","","Notification LED Remains nearly solid when received notification","Aug 21, 2010"
"672","Bug","1","Released","","Branch owners cannot add exclusive ACLs.","Aug 21, 2010"
"671","Bug","1","Released","","Syntax Coloring preference is not saved in Unified diff","Aug 20, 2010"
"670","Bug","1","WontFix","","Bug found in ""Allow file:^regex to match affected files"" feature","Aug 20, 2010"
"669","Bug","1","WontFix","anatol@google.com","repo smartsync followed by repo start . save wrong branch information into config","Aug 20, 2010"
"668","Bug","1","Released","","Read Access +2 inherited ACLs are excluded by specific rules that don't apply","Aug 20, 2010"
"667","Bug","22","Released","","highlight old patch sets that have drafts","Aug 20, 2010"
"666","Bug","1","WontFix","","gerrit upgrade 2.1.1.1 -> 2.1.4 error ","Aug 19, 2010"
"665","Bug","15","Submitted","","Merge diff not showing for conflicts","Aug 19, 2010"
"664","Bug","9","Released","","NullPointerException in httpd_log","Aug 19, 2010"
"663","Bug","3","Duplicate","","Change-Id parsing should ignore empty lines","Aug 18, 2010"
"662","Feature","1","Duplicate","","Ability to download plaintext patches from a change","Aug 13, 2010"
"661","Feature","20","Duplicate","","Copy to current patchset button for inline comments","Aug 12, 2010"
"660","Feature","2","WontFix","","gerrit create-account should support LDAP","Aug 12, 2010"
"659","Feature","3","Released","","Add ability to search for changes by commit message keywords","Aug 12, 2010"
"658","Bug","1","Released","anatol@google.com","Replication to another Gerrit server fails is destination is empty","Aug 10, 2010"
"657","Feature","1","Duplicate","","Add ability to remove yourself as a reviewer","Aug 7, 2010"
"656","Feature","11","Released","","Pull replication for repositories","Aug 7, 2010"
"655","Feature","10","Released","","configurable footers for cherry-pick submit mode","Aug 6, 2010"
"654","Bug","1","Duplicate","","Git commit subject line should be visible when viewing a diff","Aug 5, 2010"
"653","Feature","11","WontFix","","Add the ability to merge-in and split-out patchSets into/from changes.","Aug 3, 2010"
"652","Bug","1","Released","","Null Pointer Exception when failing to merge to a headless (new) branch.","Aug 3, 2010"
"651","Bug","1","Released","","Starring items in the dashboard does not star them in the dependencies","Aug 3, 2010"
"650","Bug","1","Released","","Regex comparisson bug","Aug 2, 2010"
"649","Feature","4","Released","","make hooks/events aware of ref updates","Aug 2, 2010"
"648","Bug","16","Released","","git push of commit with abandoned change-id results in confusing error message","Jul 31, 2010"
"647","Feature","5","Released","","Pushing commit objects when pushing tags should be disallowed","Jul 31, 2010"
"646","Bug","2","Released","","owner: search operator should perform substring searches instead of require exact matches","Jul 30, 2010"
"645","Bug","2","Released","","Server Error which trying to view a file from a merge that has no difference between Base and a particular Patch Set","Jul 30, 2010"
"644","Feature","2","Released","","Have create-project list potential parent projects","Jul 30, 2010"
"643","Bug","3","Released","sop@google.com","Internal Server Error when selecting patch sets","Jul 30, 2010"
"642","Bug","41","Released","beckysiegel@google.com","Comments against earlier patch sets are not displaying unless you select the patch set","Jul 30, 2010"
"641","Bug","2","Released","","Exception running commit hooks","Jul 29, 2010"
"640","Feature","33","Released","mf...@codeaurora.org","Custom dashboards with saved queries","Jul 29, 2010"
"639","Bug","2","Released","","Keyboard Shortcuts don't work 100% in recent WebKit browsers","Jul 28, 2010"
"638","Feature","1","Duplicate","","Support file: operator on search","Jul 27, 2010"
"637","Bug","4","WontFix","","Pushing branches gives java.nio.charset.UnsupportedCharsetException","Jul 27, 2010"
"636","Feature","2","Duplicate","","Add saved searches to the bottom of the page","Jul 27, 2010"
"635","Bug","14","Released","","Direct push to a dev branch causes a pending review change to become submitted in master","Jul 26, 2010"
"634","Bug","1","CannotReproduce","","Gerrit not working on IE7","Jul 26, 2010"
"633","Bug","2","Released","sop@google.com","Document the different types of download commands","Jul 24, 2010"
"632","Bug","1","WontFix","","'--re=self does not send email to myself","Jul 23, 2010"
"631","Bug","2","Released","","Review page options should stick around","Jul 21, 2010"
"630","Feature","1","Duplicate","","Should count lines of numberchanged","Jul 20, 2010"
"629","Bug","1","Released","","Refactor code duplication in AccountDiffPreference, PatchScriptSettings and PrettySettings","Jul 19, 2010"
"628","Bug","1","Invalid","","Welcome email contains intermal server IP address.","Jul 19, 2010"
"627","Feature","11","WontFix","","Add Comments column in reviewer table","Jul 16, 2010"
"626","Feature","7","Released","","Show windows EOLs (carriage-return) in diff output","Jul 14, 2010"
"625","Feature","23","Released","mf...@codeaurora.org","Improve event stream to log/store events for replaying","Jul 14, 2010"
"624","Feature","2","Invalid","","""Abandon Change"" should give me copy & pasteable commands","Jul 9, 2010"
"623","Feature","2","Released","","Request for tags ""Gerrit-Owner"" and ""Gerrit-Reviewer"" in generated emails","Jul 8, 2010"
"622","Bug","2","Released","","symlink files should have an indicator","Jul 8, 2010"
"621","Feature","1","Duplicate","","Gerrit should allow user (who submit changes) to remove a reviewer from the list of reviewers.","Jul 7, 2010"
"620","Feature","4","WontFix","","Possibility to remove trailing whitespaces on server side","Jul 6, 2010"
"619","Feature","1","Duplicate","","Add a possibility to run cppcheck on submitted patches","Jul 6, 2010"
"618","Feature","8","WontFix","","Add a possibility to run cppcheck on submitted patches","Jul 6, 2010"
"617","Feature","4","CannotReproduce","","Respect line breaks in review comments","Jul 6, 2010"
"616","Feature","21","Accepted","","Abandon several changes at once","Jul 4, 2010"
